Date,Employee Count
1/3/2022,18
1/4/2022,132
1/5/2022,123
1/6/2022,118
1/7/2022,106
1/10/2022,130
1/11/2022,133
1/12/2022,116
1/13/2022,124
1/14/2022,123
1/17/2022,125
1/18/2022,127
1/19/2022,139
1/20/2022,128
1/21/2022,122
1/24/2022,127
1/25/2022,132
1/26/2022,132
1/27/2022,124
1/28/2022,126
1/31/2022,126
2/1/2022,131
2/2/2022,33
2/3/2022,5
2/4/2022,18
2/7/2022,122
2/8/2022,128
2/9/2022,126
2/10/2022,129
2/11/2022,127
2/14/2022,129
2/15/2022,127
2/16/2022,132
2/17/2022,133
2/18/2022,123
2/21/2022,120
2/22/2022,138
2/23/2022,133
2/24/2022,133
2/25/2022,106
2/28/2022,126
3/1/2022,133
3/2/2022,142
3/3/2022,127
3/4/2022,131
3/7/2022,135
3/8/2022,139
3/9/2022,140
3/10/2022,128
3/11/2022,132
3/14/2022,134
3/15/2022,134
3/16/2022,128
3/17/2022,130
3/18/2022,114
3/21/2022,126
3/22/2022,127
3/23/2022,132
3/24/2022,131
3/25/2022,123
3/28/2022,134
3/29/2022,128
3/30/2022,133
3/31/2022,136
4/1/2022,119
4/4/2022,118
4/5/2022,122
4/6/2022,119
4/7/2022,111
4/8/2022,108
4/11/2022,140
4/12/2022,146
4/13/2022,145
4/14/2022,137
4/15/2022,127
4/18/2022,138
4/19/2022,138
4/20/2022,145
4/21/2022,136
4/22/2022,132
4/25/2022,144
4/26/2022,131
4/27/2022,125
4/28/2022,130
4/29/2022,126
5/2/2022,132
5/3/2022,135
5/4/2022,132
5/5/2022,130
5/6/2022,123
5/9/2022,129
5/10/2022,127
5/11/2022,136
5/12/2022,136
5/13/2022,124
5/16/2022,135
5/17/2022,134
5/18/2022,139
5/19/2022,133
5/20/2022,128
5/23/2022,131
5/24/2022,130
5/25/2022,133
5/26/2022,132
5/27/2022,114
5/30/2022,5
5/31/2022,130
6/1/2022,137
6/2/2022,128
6/3/2022,116
6/6/2022,137
6/7/2022,141
6/8/2022,146
6/9/2022,143
6/10/2022,132
6/13/2022,140
6/14/2022,145
6/15/2022,140
6/16/2022,131
6/17/2022,139
6/20/2022,144
6/21/2022,144
6/22/2022,146
6/23/2022,138
6/24/2022,129
6/27/2022,136
6/28/2022,144
6/29/2022,143
6/30/2022,123
7/1/2022,105
7/4/2022,1
7/5/2022,125
7/6/2022,136
7/7/2022,136
7/8/2022,133
7/11/2022,146
7/12/2022,150
7/13/2022,149
7/14/2022,152
7/15/2022,144
7/18/2022,143
7/19/2022,140
7/20/2022,147
7/21/2022,137
7/22/2022,131
7/25/2022,132
7/26/2022,92
